review,rating,date,bank,source
መስተካከል አለብት ብዩ አስታየት የም ሰጠው አካውንንት በስም ሲፈለግ mr ብሎ ቀጣይ ስም ለመፃፍ እስፔስም አይፈቅድ ቀጣዩ ፊደልም ሲፃፍ አይፅፍም ይሄ ቢስተካከል ይበልጥ ቀላል የረገዋል ብዩ አስበለው,4,2026-05-02,Commercial Bank of Ethiopia,Google Play
why it alaways asked me to update every second when I log in.,1,2026-05-01,Commercial Bank of Ethiopia,Google Play
pls update my cbe mobile banking,5,2026-05-01,Commercial Bank of Ethiopia,Google Play
good,5,2026-05-01,Commercial Bank of Ethiopia,Google Play
"Easy, secure and user friend",5,2026-05-01,Commercial Bank of Ethiopia,Google Play
nice,5,2026-05-01,Commercial Bank of Ethiopia,Google Play
hiote tegayede,5,2026-05-01,Commercial Bank of Ethiopia,Google Play
misraqe,1,2026-04-30,Commercial Bank of Ethiopia,Google Play
excellent app,5,2026-04-30,Commercial Bank of Ethiopia,Google Play
usefull app,5,2026-04-30,Commercial Bank of Ethiopia,Google Play
nice bank,4,2026-04-30,Commercial Bank of Ethiopia,Google Play
good 👍,5,2026-04-30,Commercial Bank of Ethiopia,Google Play
it's no functional problem,5,2026-04-30,Commercial Bank of Ethiopia,Google Play
Tamam Yunus Guddata,5,2026-04-30,Commercial Bank of Ethiopia,Google Play
good,5,2026-04-30,Commercial Bank of Ethiopia,Google Play
It's not working after the update it doesn't open at all,1,2026-04-30,Commercial Bank of Ethiopia,Google Play
nice,5,2026-04-29,Commercial Bank of Ethiopia,Google Play
excellent app,5,2026-04-29,Commercial Bank of Ethiopia,Google Play
Good,5,2026-04-29,Commercial Bank of Ethiopia,Google Play
CBE not compare to others,5,2026-04-29,Commercial Bank of Ethiopia,Google Play
good,5,2026-04-29,Commercial Bank of Ethiopia,Google Play
good,3,2026-04-29,Commercial Bank of Ethiopia,Google Play
nice app thanks,5,2026-04-29,Commercial Bank of Ethiopia,Google Play
Great,5,2026-04-29,Commercial Bank of Ethiopia,Google Play
good service,5,2026-04-29,Commercial Bank of Ethiopia,Google Play
"It is so good,and easy to use.",5,2026-04-28,Commercial Bank of Ethiopia,Google Play
great app,5,2026-04-28,Commercial Bank of Ethiopia,Google Play
update is not downgrade. its literally not working,1,2026-04-28,Commercial Bank of Ethiopia,Google Play
Please consider optimizing the app for Huawei Mobile Services (HMS). It doesn't work after the update.,1,2026-04-28,Commercial Bank of Ethiopia,Google Play
please use the cute ui as a professional developer,3,2026-04-28,Commercial Bank of Ethiopia,Google Play
Daily Of the day Transfer Limit Restriction If there wasn't If it didn't have Very Extremely Happy We would be.,4,2026-04-28,Commercial Bank of Ethiopia,Google Play
best,5,2026-04-28,Commercial Bank of Ethiopia,Google Play
Amazing,5,2026-04-28,Commercial Bank of Ethiopia,Google Play
it's better than before,4,2026-04-28,Commercial Bank of Ethiopia,Google Play
worst apk for a big bank,1,2026-04-28,Commercial Bank of Ethiopia,Google Play
doesn't work properly with safaricom network.,1,2026-04-28,Commercial Bank of Ethiopia,Google Play
"The app forcefully made me an update, since then every time I try to make a payment it keeps bugging and failing non stop. please fix that . this is a big company not a start up .",1,2026-04-28,Commercial Bank of Ethiopia,Google Play
good,5,2026-04-28,Commercial Bank of Ethiopia,Google Play
I found that when i am using safaricom network the app keeps crashing a lot and not working and as soon as i change the network it will work smoothly so make is a lot compatible with the safaricom network service.,3,2026-04-28,Commercial Bank of Ethiopia,Google Play
go ahead,5,2026-04-28,Commercial Bank of Ethiopia,Google Play
nice,5,2026-04-27,Commercial Bank of Ethiopia,Google Play
i like it,5,2026-04-27,Commercial Bank of Ethiopia,Google Play
ok,5,2026-04-27,Commercial Bank of Ethiopia,Google Play
ok,5,2026-04-27,Commercial Bank of Ethiopia,Google Play
Good,5,2026-04-27,Commercial Bank of Ethiopia,Google Play
cbe mobile app best app,5,2026-04-27,Commercial Bank of Ethiopia,Google Play
"easy for use,and good privacy",4,2026-04-27,Commercial Bank of Ethiopia,Google Play
amazing,5,2026-04-27,Commercial Bank of Ethiopia,Google Play
i really judged this app. 99% were profit exclusive for others only with organization benefit.,1,2026-04-27,Commercial Bank of Ethiopia,Google Play
unable to use it is not performed well,1,2026-04-27,Commercial Bank of Ethiopia,Google Play
ወከቀቀ,5,2026-04-26,Commercial Bank of Ethiopia,Google Play
Nice,5,2026-04-26,Commercial Bank of Ethiopia,Google Play
This app is very good and helpful I am Happy working with cbe mobile banking tanx all members and I am ready invite all my family and friends ❤️,5,2026-04-26,Commercial Bank of Ethiopia,Google Play
Samsung A-5360 is not my device and i did not opened by this,5,2026-04-26,Commercial Bank of Ethiopia,Google Play
notwork totransferto other,1,2026-04-26,Commercial Bank of Ethiopia,Google Play
good,5,2026-04-26,Commercial Bank of Ethiopia,Google Play
የCommercial Bank of Ethiopia ሞባይል ባንኪንግ አገልግሎት በአጠቃላይ ጠቃሚ ነው፣ ግን አንድ ችግር አጋጥሞኛል። የሂሳብ ቁጥር በምናስገባበት ሳጥን ላይ “Mr” ወይም “Mrs” ከሚለው ቀጥሎ ያለውን ስም ለማስገባት ስፔስ (space) መጠቀም አይቻልም። ይህ ተጠቃሚዎችን ስም ትክክለኛ ለማስገባት እንዲቸገሩ ያደርጋል። እባክዎ በዚህ ክፍል ስፔስ መጠቀም እንዲቻል ወይም የስም መሙያ ስርዓቱን እንዲሻሻል ቢያደርጉ በጣም ጥሩ ይሆናል።,4,2026-04-26,Commercial Bank of Ethiopia,Google Play
🫶👍🙏,5,2026-04-26,Commercial Bank of Ethiopia,Google Play
ok,5,2026-04-26,Commercial Bank of Ethiopia,Google Play
good,5,2026-04-25,Commercial Bank of Ethiopia,Google Play
I am very comfortable because we can easily access various transfer services that we used to have to go to the bank.,5,2026-04-25,Commercial Bank of Ethiopia,Google Play
ok,5,2026-04-25,Commercial Bank of Ethiopia,Google Play
good app,5,2026-04-25,Commercial Bank of Ethiopia,Google Play
i am so happy,5,2026-04-25,Commercial Bank of Ethiopia,Google Play
good,5,2026-04-25,Commercial Bank of Ethiopia,Google Play
The recent update is trash. I couldn't refresh the page. It's not even trying to sync. Please fix the bug and release a clean version.,1,2026-04-25,Commercial Bank of Ethiopia,Google Play
good job,5,2026-04-25,Commercial Bank of Ethiopia,Google Play
I'm from Ethiopia and proud of CBE service app.,5,2026-04-25,Commercial Bank of Ethiopia,Google Play
I am successful with app,5,2026-04-25,Commercial Bank of Ethiopia,Google Play
everything is boaring the previous one is good,1,2026-04-25,Commercial Bank of Ethiopia,Google Play
best,5,2026-04-25,Commercial Bank of Ethiopia,Google Play
good,5,2026-04-24,Commercial Bank of Ethiopia,Google Play
good app but it needs more languages do it with more than four languages,5,2026-04-24,Commercial Bank of Ethiopia,Google Play
good work,5,2026-04-24,Commercial Bank of Ethiopia,Google Play
ok,5,2026-04-24,Commercial Bank of Ethiopia,Google Play
wow app.The developers make improvements every time.,5,2026-04-24,Commercial Bank of Ethiopia,Google Play
nice and perfect,5,2026-04-24,Commercial Bank of Ethiopia,Google Play
best experience,5,2026-04-24,Commercial Bank of Ethiopia,Google Play
the best,5,2026-04-24,Commercial Bank of Ethiopia,Google Play
What's wrong after i update the app unable to open,1,2026-04-24,Commercial Bank of Ethiopia,Google Play
nice,5,2026-04-24,Commercial Bank of Ethiopia,Google Play
👍👍it is good. pls Hide the amount that appear on the top when we need to transfer🙏,1,2026-04-24,Commercial Bank of Ethiopia,Google Play
not sure at the moment,3,2026-04-24,Commercial Bank of Ethiopia,Google Play
Good,5,2026-04-24,Commercial Bank of Ethiopia,Google Play
it's the best app i have every seen it is fast and securty,5,2026-04-24,Commercial Bank of Ethiopia,Google Play
Useful apps,5,2026-04-24,Commercial Bank of Ethiopia,Google Play
easy to use,5,2026-04-24,Commercial Bank of Ethiopia,Google Play
waw,4,2026-04-24,Commercial Bank of Ethiopia,Google Play
"This app used to work well, but now it constantly shows an error saying it can’t load my accounts and tells me to visit a branch. I’m not even in the country, so that’s not possible. The app has frequent issues and needs better reliability and remote support options.",2,2026-04-24,Commercial Bank of Ethiopia,Google Play
Very good,5,2026-04-23,Commercial Bank of Ethiopia,Google Play
አዲሱ ገጽታው በጣም ያስጠላል። ለአይን ይከብዳል። ወደነበረበት ብትመልሱት።,1,2026-04-23,Commercial Bank of Ethiopia,Google Play
I like it but sometimes there is a system error,4,2026-04-23,Commercial Bank of Ethiopia,Google Play
good,5,2026-04-23,Commercial Bank of Ethiopia,Google Play
"the app keeps asking for update, even after being updated",3,2026-04-23,Commercial Bank of Ethiopia,Google Play
"This application was not that great, and its performance has unfortunately declined further. For the past week, I have been unable to access my balance or transfer funds. This situation is causing considerable concern and inconvenience, as I cannot access my money in a timely manner. This has resulted in late payments and a loss of confidence and trust. Furthermore, I have not received a response to my message to the customer support team",1,2026-04-23,Commercial Bank of Ethiopia,Google Play
good,5,2026-04-23,Commercial Bank of Ethiopia,Google Play
like,5,2026-04-23,Commercial Bank of Ethiopia,Google Play
Good !,3,2026-04-23,Commercial Bank of Ethiopia,Google Play
good,5,2026-04-23,Commercial Bank of Ethiopia,Google Play
good,5,2026-04-23,Commercial Bank of Ethiopia,Google Play
very good cbe app,5,2026-04-23,Commercial Bank of Ethiopia,Google Play
tel birr,5,2026-04-23,Commercial Bank of Ethiopia,Google Play
halaba kuleto,5,2026-04-23,Commercial Bank of Ethiopia,Google Play
best app ever,5,2026-04-23,Commercial Bank of Ethiopia,Google Play
it's good app for ease of access mobile banking transaction and use our time properly!,5,2026-04-22,Commercial Bank of Ethiopia,Google Play
"pls make an option fingerprint Biometric payment only, it's fast and secure to pay",4,2026-04-22,Commercial Bank of Ethiopia,Google Play
በጣም ቀላልና ፈጣን ለመጠቀም ወድጀዋለሁ,5,2026-04-22,Commercial Bank of Ethiopia,Google Play
I love this up to much eollahi,5,2026-04-22,Commercial Bank of Ethiopia,Google Play
I hope this bank have excellent Mobile app but still not easy and not working in holidays why,4,2026-04-22,Commercial Bank of Ethiopia,Google Play
best,5,2026-04-22,Commercial Bank of Ethiopia,Google Play
"It's a great, easy-to-use, very convenient and secure app.",5,2026-04-22,Commercial Bank of Ethiopia,Google Play
Good Job,5,2026-04-22,Commercial Bank of Ethiopia,Google Play
best,5,2026-04-22,Commercial Bank of Ethiopia,Google Play
Best app.,5,2026-04-22,Commercial Bank of Ethiopia,Google Play
it's so use full and secure 👍💪👌,5,2026-04-22,Commercial Bank of Ethiopia,Google Play
"there should be atm voucher access included , and also the app crash sometimes .",1,2026-04-22,Commercial Bank of Ethiopia,Google Play
ok,1,2026-04-22,Commercial Bank of Ethiopia,Google Play
"The app has some issues we need to have a place where we save our contacts where we usually send money to, after update I keep loosing all the important accounts.Also user needs to configure their notification types we want to receive either by email ,SMS or both. right now I don't get any notifications when I receive funds from companies.",1,2026-04-22,Commercial Bank of Ethiopia,Google Play
after the the recent update the app not responding. even transfer to telebirr isn't working.,1,2026-04-22,Commercial Bank of Ethiopia,Google Play
Need more additional future include for now it's not bad,1,2026-04-22,Commercial Bank of Ethiopia,Google Play
I don't like. I can't make transfer to my own telebirr,1,2026-04-22,Commercial Bank of Ethiopia,Google Play
lag and stack not quick response 😞😞,2,2026-04-22,Commercial Bank of Ethiopia,Google Play
it good. to get services,5,2026-04-22,Commercial Bank of Ethiopia,Google Play
good,5,2026-04-22,Commercial Bank of Ethiopia,Google Play
Number One App,5,2026-04-22,Commercial Bank of Ethiopia,Google Play
is good,5,2026-04-22,Commercial Bank of Ethiopia,Google Play
ok,5,2026-04-22,Commercial Bank of Ethiopia,Google Play
this secure app of all Ethiopia mobile banking ever.,5,2026-04-22,Commercial Bank of Ethiopia,Google Play
perfect app,5,2026-04-22,Commercial Bank of Ethiopia,Google Play
owww cbe,5,2026-04-22,Commercial Bank of Ethiopia,Google Play
"Very secured, fast and favourable",5,2026-04-22,Commercial Bank of Ethiopia,Google Play
best,5,2026-04-22,Commercial Bank of Ethiopia,Google Play
very nice 👌,5,2026-04-21,Commercial Bank of Ethiopia,Google Play
اليش يتعخر معرف والله,5,2026-04-21,Commercial Bank of Ethiopia,Google Play
good application 💯💯💯.,5,2026-04-21,Commercial Bank of Ethiopia,Google Play
best,5,2026-04-21,Commercial Bank of Ethiopia,Google Play
ok,5,2026-04-21,Commercial Bank of Ethiopia,Google Play
good app,5,2026-04-21,Commercial Bank of Ethiopia,Google Play
good,4,2026-04-21,Commercial Bank of Ethiopia,Google Play
Nice App,5,2026-04-21,Commercial Bank of Ethiopia,Google Play
it cost us a lot just by transfer and in other way not fair,1,2026-04-21,Commercial Bank of Ethiopia,Google Play
Great app,5,2026-04-21,Commercial Bank of Ethiopia,Google Play
Interesting app,5,2026-04-21,Commercial Bank of Ethiopia,Google Play
ok,5,2026-04-21,Commercial Bank of Ethiopia,Google Play
"i didn't get feed back through message ,Why so?",5,2026-04-21,Commercial Bank of Ethiopia,Google Play
good and fast,5,2026-04-21,Commercial Bank of Ethiopia,Google Play
"v, good",5,2026-04-21,Commercial Bank of Ethiopia,Google Play
very bad experience as its very slow,1,2026-04-20,Commercial Bank of Ethiopia,Google Play
i luv it,5,2026-04-20,Commercial Bank of Ethiopia,Google Play
Good&fast,5,2026-04-20,Commercial Bank of Ethiopia,Google Play
good,5,2026-04-20,Commercial Bank of Ethiopia,Google Play
good,5,2026-04-19,Commercial Bank of Ethiopia,Google Play
የጣት አሻራ አገልግሎት አላገኘሁም። አጠቃቀሙ ጠፍቶኝ ይሆን?,4,2026-04-19,Commercial Bank of Ethiopia,Google Play
good,4,2026-04-19,Commercial Bank of Ethiopia,Google Play
Rtgs limit very small,3,2026-04-19,Commercial Bank of Ethiopia,Google Play
"Trasaction history not sorted in time basis, besides the hilight transaction and its details which is found by clicking the highht transaction are diffrent. Generally, the tansaction history page has a critical problem",3,2026-04-19,Commercial Bank of Ethiopia,Google Play
good job,5,2026-04-19,Commercial Bank of Ethiopia,Google Play
best bank for Android application form market place and key number,5,2026-04-19,Commercial Bank of Ethiopia,Google Play
i like cbe service,5,2026-04-19,Commercial Bank of Ethiopia,Google Play
አሪፍ ነው,4,2026-04-18,Commercial Bank of Ethiopia,Google Play
it is the best application in the Ethiopia I like it this,5,2026-04-18,Commercial Bank of Ethiopia,Google Play
super spp,5,2026-04-18,Commercial Bank of Ethiopia,Google Play
I have 1 year and thank you for yo ur genuine service,5,2026-04-18,Commercial Bank of Ethiopia,Google Play
ካየህዋቸው ተመሳሳይ መተግበርያዎች በጣም ጥሩ መተግበርያ ነው,4,2026-04-18,Commercial Bank of Ethiopia,Google Play
excellent,5,2026-04-18,Commercial Bank of Ethiopia,Google Play
Excellent,5,2026-04-18,Commercial Bank of Ethiopia,Google Play
"im having a terrible experience with this app, im getting 'unable to connect' error, this happened for a while now and they didnt fix it, it is so unreliable in times i need it that i have to resort to using ussd code instead of it. please fix this issue",1,2026-04-17,Commercial Bank of Ethiopia,Google Play
Absolute garbage,1,2026-04-17,Commercial Bank of Ethiopia,Google Play
CBE does not offer anything international.,3,2026-04-17,Commercial Bank of Ethiopia,Google Play
korsa,5,2026-04-17,Commercial Bank of Ethiopia,Google Play
its good,5,2026-04-17,Commercial Bank of Ethiopia,Google Play
very nice app,5,2026-04-16,Commercial Bank of Ethiopia,Google Play
nice app,5,2026-04-16,Commercial Bank of Ethiopia,Google Play
ok,5,2026-04-16,Commercial Bank of Ethiopia,Google Play
nice app,5,2026-04-16,Commercial Bank of Ethiopia,Google Play
it looks fantasy,5,2026-04-16,Commercial Bank of Ethiopia,Google Play
it's best app to use recently and upgraded day to day for internationalization,5,2026-04-16,Commercial Bank of Ethiopia,Google Play
it is more convenient app,5,2026-04-16,Commercial Bank of Ethiopia,Google Play
gooooodddd.....,5,2026-04-15,Commercial Bank of Ethiopia,Google Play
This is app is not fast and not working well in all android phone. eg it is not functioning well using one plus phone.,1,2026-04-15,Commercial Bank of Ethiopia,Google Play
Factory reset made me to lose my pin to login to my account!,5,2026-04-15,Commercial Bank of Ethiopia,Google Play
keeps on saying bucket override when I try to pay henon school fee,2,2026-04-15,Commercial Bank of Ethiopia,Google Play
"life longe bank CBE , Save & change your life.",5,2026-04-15,Commercial Bank of Ethiopia,Google Play
ok,5,2026-04-15,Commercial Bank of Ethiopia,Google Play
good,5,2026-04-15,Commercial Bank of Ethiopia,Google Play
does not working well,5,2026-04-15,Commercial Bank of Ethiopia,Google Play
it's v good app sometimes there is a problem on other bank transfers,4,2026-04-15,Commercial Bank of Ethiopia,Google Play
pls speedup for quick uses,5,2026-04-14,Commercial Bank of Ethiopia,Google Play
"before, it was nice. now it does not work and crash automatically",2,2026-04-14,Commercial Bank of Ethiopia,Google Play
Pls facilitate transfer to telebirr agent,3,2026-04-14,Commercial Bank of Ethiopia,Google Play
sestemaa siresun osoo manaa banki hindemne namnii barbade national id isa fayadamee osoo banachun danda'ame bayye nammati tola live event qabate,3,2026-04-13,Commercial Bank of Ethiopia,Google Play
I customer for commercial bank of Ethiopia I trade,5,2026-04-13,Commercial Bank of Ethiopia,Google Play
it's has an issue,1,2026-04-13,Commercial Bank of Ethiopia,Google Play
good,5,2026-04-13,Commercial Bank of Ethiopia,Google Play
nice,5,2026-04-13,Commercial Bank of Ethiopia,Google Play
accessibility need to be taken seriously. There are people excluded because of inaccessible apps.,3,2026-04-13,Commercial Bank of Ethiopia,Google Play
"This application was not that great, and its performance has unfortunately declined further. For the past week, I have been unable to access my balance or transfer funds. This situation is causing considerable concern and inconvenience, as I cannot access my money in a timely manner. This has resulted in late payments and a loss of confidence and trust. Furthermore, I have not received a response to my message to the customer support team.",1,2026-04-12,Commercial Bank of Ethiopia,Google Play
🤙,5,2026-04-12,Commercial Bank of Ethiopia,Google Play
I can't download this app please assist how it can be downloaded,1,2026-04-12,Commercial Bank of Ethiopia,Google Play
"my favorite so far, but, how come we are not able to download the app and fix our problem ourselves? it is not fair to go to the bank and fix it for you? please think about it. Thank you",5,2026-04-11,Commercial Bank of Ethiopia,Google Play
lulit tukka giro,5,2026-04-11,Commercial Bank of Ethiopia,Google Play
Enough good even it hasn't transferring for other telebirr users,5,2026-04-11,Commercial Bank of Ethiopia,Google Play
not good not bad.,3,2026-04-11,Commercial Bank of Ethiopia,Google Play
easy fast helpful for our business,5,2026-04-11,Commercial Bank of Ethiopia,Google Play
good,5,2026-04-11,Commercial Bank of Ethiopia,Google Play
good,5,2026-04-11,Commercial Bank of Ethiopia,Google Play
bad strresing,1,2026-04-11,Commercial Bank of Ethiopia,Google Play
cool,5,2026-04-11,Commercial Bank of Ethiopia,Google Play
100%100 Fast and Amazing app !! 🏆🏆🏆🏆🏆🏆🏆🏆 💞🌷🇪🇹,5,2026-04-10,Commercial Bank of Ethiopia,Google Play
Not that happy at this app,3,2026-04-10,Commercial Bank of Ethiopia,Google Play
Best,5,2026-04-10,Commercial Bank of Ethiopia,Google Play
crush alot,1,2026-04-10,Commercial Bank of Ethiopia,Google Play
itii fayadamaa namaa fayadaa kuniin,5,2026-04-10,Commercial Bank of Ethiopia,Google Play
good app,5,2026-04-09,Commercial Bank of Ethiopia,Google Play
good,5,2026-04-09,Commercial Bank of Ethiopia,Google Play
Musxafaa,5,2026-04-09,Commercial Bank of Ethiopia,Google Play
good,5,2026-04-09,Commercial Bank of Ethiopia,Google Play
well expriences,5,2026-04-09,Commercial Bank of Ethiopia,Google Play
good,5,2026-04-09,Commercial Bank of Ethiopia,Google Play
great 👍,5,2026-04-09,Commercial Bank of Ethiopia,Google Play
I had good time with CBE,5,2026-04-09,Commercial Bank of Ethiopia,Google Play
crashes every time you need to update this app ASAP.. i will be changing bank if tjis continues,1,2026-04-09,Commercial Bank of Ethiopia,Google Play
Good,5,2026-04-09,Commercial Bank of Ethiopia,Google Play
easy and fast,5,2026-04-08,Commercial Bank of Ethiopia,Google Play
very nice,5,2026-04-08,Commercial Bank of Ethiopia,Google Play
its good,5,2026-04-08,Commercial Bank of Ethiopia,Google Play
this app is very good,5,2026-04-08,Commercial Bank of Ethiopia,Google Play
በጣም ጥሩ ነው,4,2026-04-08,Commercial Bank of Ethiopia,Google Play
deduction but no transaction. not good,3,2026-04-08,Commercial Bank of Ethiopia,Google Play
Easy to use and reliable.,5,2026-04-07,Commercial Bank of Ethiopia,Google Play
difficult to see our transactions after aweek,1,2026-04-07,Commercial Bank of Ethiopia,Google Play
👍👍,5,2026-04-07,Commercial Bank of Ethiopia,Google Play
nice,1,2026-04-07,Commercial Bank of Ethiopia,Google Play
Good bank,5,2026-04-07,Commercial Bank of Ethiopia,Google Play
swift,5,2026-04-07,Commercial Bank of Ethiopia,Google Play
best,5,2026-04-07,Commercial Bank of Ethiopia,Google Play
it is wel,5,2026-04-07,Commercial Bank of Ethiopia,Google Play
nice,4,2026-04-06,Commercial Bank of Ethiopia,Google Play
fully functional greate application it makes payment and transaction easier,5,2026-04-06,Commercial Bank of Ethiopia,Google Play
it's best for everyone,5,2026-04-06,Commercial Bank of Ethiopia,Google Play
good,5,2026-04-06,Commercial Bank of Ethiopia,Google Play
good jobs,5,2026-04-06,Commercial Bank of Ethiopia,Google Play
am happy using it.But why does it need continuous updates?,5,2026-04-06,Commercial Bank of Ethiopia,Google Play
