review_id,review_text,sentiment_label,sentiment_score,identified_theme
54,features በጣም ወድጄዋለሁ ነገር ግን አንድ ችግር አይቼዋለሁ ።APPU DELETE በሆነ ጊዜ ቅርንጫፍ ማመላለሱና MB APPLICATION FORMAT ላይ በየጊዜው መፈረሙ አንድ ለባንኩ ወጪ ነው ሁለት ለደንበኞች Inconvenience ይፈጥራል አስተካክሉ,NEGATIVE,0.998,Feature Requests
55,best,POSITIVE,0.9998,General Feedback
56,goood g,NEGATIVE,0.9891,General Feedback
57,I like so much,POSITIVE,0.9999,General Feedback
58,This app has never been efficient at all,NEGATIVE,0.9998,General Feedback
59,nice app.,POSITIVE,0.9998,General Feedback
60,"While the option to create or cancel standing orders has been added, it is not functional. Similarly, adding a new beneficiary is also not working. Please fix.",NEGATIVE,0.9998,General Feedback
61,Wonderful App ❤️❤️❤️ I love it,POSITIVE,0.9999,General Feedback
62,i like it,POSITIVE,0.9999,General Feedback
63,best,POSITIVE,0.9998,General Feedback
64,vary good app,POSITIVE,0.9998,General Feedback
65,good,POSITIVE,0.9998,General Feedback
66,good,POSITIVE,0.9998,General Feedback
67,good,POSITIVE,0.9998,General Feedback
68,nice,POSITIVE,0.9999,General Feedback
69,easy to use but hard to find easily,NEGATIVE,0.9886,General Feedback
70,fixed problem,NEGATIVE,0.9914,General Feedback
71,በእውነት የሚገርም app ነው ነገሮችን ሁሉ ቀለል ያደርጋል,NEGATIVE,0.9389,General Feedback
72,good,POSITIVE,0.9998,General Feedback
73,good,POSITIVE,0.9998,General Feedback
74,best app,POSITIVE,0.9997,General Feedback
75,Good Application,POSITIVE,0.9999,General Feedback
76,Good app,POSITIVE,0.9998,General Feedback
77,መስተካከል አለብት ብዩ አስታየት የም ሰጠው አካውንንት በስም ሲፈለግ mr ብሎ ቀጣይ ስም ለመፃፍ እስፔስም አይፈቅድ ቀጣዩ ፊደልም ሲፃፍ አይፅፍም ይሄ ቢስተካከል ይበልጥ ቀላል የረገዋል ብዩ አስበለው,NEGATIVE,0.967,General Feedback
78,why it alaways asked me to update every second when I log in.,NEGATIVE,0.9972,Account Access Issues
79,pls update my cbe mobile banking,NEGATIVE,0.9723,Feature Requests
80,good,POSITIVE,0.9998,General Feedback
81,"Easy, secure and user friend",POSITIVE,0.9989,General Feedback
82,nice,POSITIVE,0.9999,General Feedback
83,hiote tegayede,POSITIVE,0.8946,General Feedback
84,misraqe,NEGATIVE,0.9931,General Feedback
85,excellent app,POSITIVE,0.9998,General Feedback
86,usefull app,POSITIVE,0.9954,General Feedback
87,nice bank,POSITIVE,0.9998,General Feedback
88,good 👍,POSITIVE,0.9999,General Feedback
89,it's no functional problem,NEGATIVE,0.9982,General Feedback
90,Tamam Yunus Guddata,NEGATIVE,0.9828,General Feedback
91,good,POSITIVE,0.9998,General Feedback
92,It's not working after the update it doesn't open at all,NEGATIVE,0.9998,Feature Requests
93,nice,POSITIVE,0.9999,General Feedback
94,excellent app,POSITIVE,0.9998,General Feedback
95,Good,POSITIVE,0.9998,General Feedback
96,CBE not compare to others,NEGATIVE,0.9169,General Feedback
97,good,POSITIVE,0.9998,General Feedback
98,good,POSITIVE,0.9998,General Feedback
99,nice app thanks,POSITIVE,0.9998,General Feedback
100,Great,POSITIVE,0.9999,General Feedback
101,good service,POSITIVE,0.9998,General Feedback
102,"It is so good,and easy to use.",POSITIVE,0.9999,General Feedback
103,great app,POSITIVE,0.9998,General Feedback
104,update is not downgrade. its literally not working,NEGATIVE,0.9936,Feature Requests
105,Please consider optimizing the app for Huawei Mobile Services (HMS). It doesn't work after the update.,NEGATIVE,0.9997,Feature Requests
106,please use the cute ui as a professional developer,POSITIVE,0.997,App Stability & UI
107,Daily Of the day Transfer Limit Restriction If there wasn't If it didn't have Very Extremely Happy We would be.,NEGATIVE,0.995,Transaction Performance
108,best,POSITIVE,0.9998,General Feedback
109,Amazing,POSITIVE,0.9999,General Feedback
110,it's better than before,POSITIVE,0.9998,General Feedback
111,worst apk for a big bank,NEGATIVE,0.9998,General Feedback
112,doesn't work properly with safaricom network.,NEGATIVE,0.9998,App Stability & UI
113,"The app forcefully made me an update, since then every time I try to make a payment it keeps bugging and failing non stop. please fix that . this is a big company not a start up .",NEGATIVE,0.9995,Transaction Performance
114,good,POSITIVE,0.9998,General Feedback
115,I found that when i am using safaricom network the app keeps crashing a lot and not working and as soon as i change the network it will work smoothly so make is a lot compatible with the safaricom network service.,POSITIVE,0.9556,App Stability & UI
116,go ahead,POSITIVE,0.9998,General Feedback
117,nice,POSITIVE,0.9999,General Feedback
118,i like it,POSITIVE,0.9999,General Feedback
119,ok,POSITIVE,0.9998,General Feedback
120,ok,POSITIVE,0.9998,General Feedback
121,Good,POSITIVE,0.9998,General Feedback
122,cbe mobile app best app,POSITIVE,0.9987,General Feedback
123,"easy for use,and good privacy",POSITIVE,0.9995,General Feedback
124,amazing,POSITIVE,0.9999,General Feedback
125,i really judged this app. 99% were profit exclusive for others only with organization benefit.,NEGATIVE,0.9831,General Feedback
126,unable to use it is not performed well,NEGATIVE,0.9998,General Feedback
127,ወከቀቀ,NEGATIVE,0.6971,General Feedback
128,Nice,POSITIVE,0.9999,General Feedback
129,This app is very good and helpful I am Happy working with cbe mobile banking tanx all members and I am ready invite all my family and friends ❤️,POSITIVE,0.9998,General Feedback
130,Samsung A-5360 is not my device and i did not opened by this,NEGATIVE,0.9985,General Feedback
131,notwork totransferto other,NEGATIVE,0.996,Transaction Performance
132,good,POSITIVE,0.9998,General Feedback
133,የCommercial Bank of Ethiopia ሞባይል ባንኪንግ አገልግሎት በአጠቃላይ ጠቃሚ ነው፣ ግን አንድ ችግር አጋጥሞኛል። የሂሳብ ቁጥር በምናስገባበት ሳጥን ላይ “Mr” ወይም “Mrs” ከሚለው ቀጥሎ ያለውን ስም ለማስገባት ስፔስ (space) መጠቀም አይቻልም። ይህ ተጠቃሚዎችን ስም ትክክለኛ ለማስገባት እንዲቸገሩ ያደርጋል። እባክዎ በዚህ ክፍል ስፔስ መጠቀም እንዲቻል ወይም የስም መሙያ ስርዓቱን እንዲሻሻል ቢያደርጉ በጣም ጥሩ ይሆናል።,NEGATIVE,0.9335,General Feedback
134,🫶👍🙏,NEGATIVE,0.6971,General Feedback
135,ok,POSITIVE,0.9998,General Feedback
136,good,POSITIVE,0.9998,General Feedback
137,I am very comfortable because we can easily access various transfer services that we used to have to go to the bank.,POSITIVE,0.999,Transaction Performance
138,ok,POSITIVE,0.9998,General Feedback
139,good app,POSITIVE,0.9998,General Feedback
140,i am so happy,POSITIVE,0.9999,General Feedback
141,good,POSITIVE,0.9998,General Feedback
142,The recent update is trash. I couldn't refresh the page. It's not even trying to sync. Please fix the bug and release a clean version.,NEGATIVE,0.9996,App Stability & UI
143,good job,POSITIVE,0.9998,General Feedback
144,I'm from Ethiopia and proud of CBE service app.,POSITIVE,0.9997,General Feedback
145,I am successful with app,POSITIVE,0.9998,General Feedback
146,everything is boaring the previous one is good,POSITIVE,0.9998,General Feedback
147,best,POSITIVE,0.9998,General Feedback
148,good,POSITIVE,0.9998,General Feedback
149,good app but it needs more languages do it with more than four languages,NEGATIVE,0.9736,General Feedback
150,good work,POSITIVE,0.9998,General Feedback
151,ok,POSITIVE,0.9998,General Feedback
152,wow app.The developers make improvements every time.,POSITIVE,0.9997,General Feedback
153,nice and perfect,POSITIVE,0.9999,General Feedback
154,best experience,POSITIVE,0.9997,General Feedback
155,the best,POSITIVE,0.9998,General Feedback
156,What's wrong after i update the app unable to open,NEGATIVE,0.9998,Feature Requests
157,nice,POSITIVE,0.9999,General Feedback
158,👍👍it is good. pls Hide the amount that appear on the top when we need to transfer🙏,POSITIVE,0.9994,Transaction Performance
159,not sure at the moment,NEGATIVE,0.9996,General Feedback
160,Good,POSITIVE,0.9998,General Feedback
161,it's the best app i have every seen it is fast and securty,POSITIVE,0.998,General Feedback
162,Useful apps,POSITIVE,0.9994,General Feedback
163,easy to use,POSITIVE,0.9989,General Feedback
164,waw,NEGATIVE,0.7346,General Feedback
165,"This app used to work well, but now it constantly shows an error saying it can’t load my accounts and tells me to visit a branch. I’m not even in the country, so that’s not possible. The app has frequent issues and needs better reliability and remote support options.",NEGATIVE,0.9991,Account Access Issues
166,Very good,POSITIVE,0.9999,General Feedback
167,አዲሱ ገጽታው በጣም ያስጠላል። ለአይን ይከብዳል። ወደነበረበት ብትመልሱት።,NEGATIVE,0.9446,General Feedback
168,I like it but sometimes there is a system error,NEGATIVE,0.9991,App Stability & UI
169,good,POSITIVE,0.9998,General Feedback
170,"the app keeps asking for update, even after being updated",NEGATIVE,0.9913,Feature Requests
171,"This application was not that great, and its performance has unfortunately declined further. For the past week, I have been unable to access my balance or transfer funds. This situation is causing considerable concern and inconvenience, as I cannot access my money in a timely manner. This has resulted in late payments and a loss of confidence and trust. Furthermore, I have not received a response to my message to the customer support team",NEGATIVE,0.9998,Transaction Performance
172,good,POSITIVE,0.9998,General Feedback
173,like,POSITIVE,0.9911,General Feedback
174,Good !,POSITIVE,0.9998,General Feedback
175,good,POSITIVE,0.9998,General Feedback
176,good,POSITIVE,0.9998,General Feedback
177,very good cbe app,POSITIVE,0.9998,General Feedback
178,tel birr,NEGATIVE,0.948,General Feedback
179,halaba kuleto,NEGATIVE,0.6842,General Feedback
180,best app ever,POSITIVE,0.9997,General Feedback
181,it's good app for ease of access mobile banking transaction and use our time properly!,POSITIVE,0.9997,General Feedback
182,"pls make an option fingerprint Biometric payment only, it's fast and secure to pay",POSITIVE,0.9272,Transaction Performance
183,በጣም ቀላልና ፈጣን ለመጠቀም ወድጀዋለሁ,NEGATIVE,0.8832,General Feedback
184,I love this up to much eollahi,POSITIVE,0.9999,General Feedback
185,I hope this bank have excellent Mobile app but still not easy and not working in holidays why,NEGATIVE,0.9943,General Feedback
186,best,POSITIVE,0.9998,General Feedback
187,"It's a great, easy-to-use, very convenient and secure app.",POSITIVE,0.9997,General Feedback
188,Good Job,POSITIVE,0.9998,General Feedback
189,best,POSITIVE,0.9998,General Feedback
190,Best app.,POSITIVE,0.9998,General Feedback
191,it's so use full and secure 👍💪👌,NEGATIVE,0.5182,General Feedback
192,"there should be atm voucher access included , and also the app crash sometimes .",NEGATIVE,0.9989,App Stability & UI
193,ok,POSITIVE,0.9998,General Feedback
194,"The app has some issues we need to have a place where we save our contacts where we usually send money to, after update I keep loosing all the important accounts.Also user needs to configure their notification types we want to receive either by email ,SMS or both. right now I don't get any notifications when I receive funds from companies.",NEGATIVE,0.999,Transaction Performance
195,after the the recent update the app not responding. even transfer to telebirr isn't working.,NEGATIVE,0.9997,Transaction Performance
196,Need more additional future include for now it's not bad,POSITIVE,0.9944,General Feedback
197,I don't like. I can't make transfer to my own telebirr,NEGATIVE,0.9984,Transaction Performance
198,lag and stack not quick response 😞😞,NEGATIVE,0.9986,App Stability & UI
199,it good. to get services,POSITIVE,0.9999,General Feedback
200,good,POSITIVE,0.9998,General Feedback
201,Number One App,POSITIVE,0.9983,General Feedback
202,is good,POSITIVE,0.9998,General Feedback
203,ok,POSITIVE,0.9998,General Feedback
204,this secure app of all Ethiopia mobile banking ever.,POSITIVE,0.9989,General Feedback
205,perfect app,POSITIVE,0.9998,General Feedback
206,owww cbe,POSITIVE,0.9706,General Feedback
207,"Very secured, fast and favourable",POSITIVE,0.9999,General Feedback
208,best,POSITIVE,0.9998,General Feedback
209,very nice 👌,POSITIVE,0.9999,General Feedback
210,اليش يتعخر معرف والله,NEGATIVE,0.5891,General Feedback
211,good application 💯💯💯.,POSITIVE,0.9998,General Feedback
212,best,POSITIVE,0.9998,General Feedback
213,ok,POSITIVE,0.9998,General Feedback
214,good app,POSITIVE,0.9998,General Feedback
215,good,POSITIVE,0.9998,General Feedback
216,Nice App,POSITIVE,0.9998,General Feedback
217,it cost us a lot just by transfer and in other way not fair,NEGATIVE,0.9993,Transaction Performance
218,Great app,POSITIVE,0.9998,General Feedback
219,Interesting app,POSITIVE,0.9997,General Feedback
220,ok,POSITIVE,0.9998,General Feedback
221,"i didn't get feed back through message ,Why so?",NEGATIVE,0.9989,General Feedback
222,good and fast,POSITIVE,0.9999,General Feedback
223,"v, good",POSITIVE,0.9998,General Feedback
224,very bad experience as its very slow,NEGATIVE,0.9998,App Stability & UI
225,i luv it,POSITIVE,0.9779,General Feedback
226,Good&fast,POSITIVE,0.9999,General Feedback
227,good,POSITIVE,0.9998,General Feedback
228,good,POSITIVE,0.9998,General Feedback
229,የጣት አሻራ አገልግሎት አላገኘሁም። አጠቃቀሙ ጠፍቶኝ ይሆን?,NEGATIVE,0.9682,General Feedback
230,good,POSITIVE,0.9998,General Feedback
231,Rtgs limit very small,NEGATIVE,0.9604,General Feedback
232,"Trasaction history not sorted in time basis, besides the hilight transaction and its details which is found by clicking the highht transaction are diffrent. Generally, the tansaction history page has a critical problem",NEGATIVE,0.9996,General Feedback
233,good job,POSITIVE,0.9998,General Feedback
234,best bank for Android application form market place and key number,POSITIVE,0.9671,General Feedback
235,i like cbe service,POSITIVE,0.9947,General Feedback
236,አሪፍ ነው,NEGATIVE,0.7851,General Feedback
237,it is the best application in the Ethiopia I like it this,POSITIVE,0.9998,General Feedback
238,super spp,POSITIVE,0.5455,General Feedback
239,I have 1 year and thank you for yo ur genuine service,POSITIVE,0.9996,App Stability & UI
240,ካየህዋቸው ተመሳሳይ መተግበርያዎች በጣም ጥሩ መተግበርያ ነው,NEGATIVE,0.92,General Feedback
241,excellent,POSITIVE,0.9998,General Feedback
242,Excellent,POSITIVE,0.9998,General Feedback
243,"im having a terrible experience with this app, im getting 'unable to connect' error, this happened for a while now and they didnt fix it, it is so unreliable in times i need it that i have to resort to using ussd code instead of it. please fix this issue",NEGATIVE,0.9997,App Stability & UI
244,Absolute garbage,NEGATIVE,0.9998,General Feedback
245,CBE does not offer anything international.,NEGATIVE,0.9994,General Feedback
246,korsa,POSITIVE,0.9419,General Feedback
247,its good,POSITIVE,0.9998,General Feedback
248,very nice app,POSITIVE,0.9999,General Feedback
249,nice app,POSITIVE,0.9998,General Feedback
250,ok,POSITIVE,0.9998,General Feedback
251,nice app,POSITIVE,0.9998,General Feedback
252,it looks fantasy,POSITIVE,0.9889,General Feedback
253,it's best app to use recently and upgraded day to day for internationalization,POSITIVE,0.9983,General Feedback
254,it is more convenient app,NEGATIVE,0.868,General Feedback
255,gooooodddd.....,NEGATIVE,0.988,General Feedback
256,This is app is not fast and not working well in all android phone. eg it is not functioning well using one plus phone.,NEGATIVE,0.9998,General Feedback
257,Factory reset made me to lose my pin to login to my account!,NEGATIVE,0.9998,Account Access Issues
258,keeps on saying bucket override when I try to pay henon school fee,NEGATIVE,0.9966,Transaction Performance
259,"life longe bank CBE , Save & change your life.",POSITIVE,0.9976,General Feedback
260,ok,POSITIVE,0.9998,General Feedback
261,good,POSITIVE,0.9998,General Feedback
262,does not working well,NEGATIVE,0.9998,General Feedback
263,it's v good app sometimes there is a problem on other bank transfers,NEGATIVE,0.9923,Transaction Performance
264,pls speedup for quick uses,NEGATIVE,0.6068,App Stability & UI
265,"before, it was nice. now it does not work and crash automatically",NEGATIVE,0.9991,App Stability & UI
266,Pls facilitate transfer to telebirr agent,NEGATIVE,0.9452,Transaction Performance
267,sestemaa siresun osoo manaa banki hindemne namnii barbade national id isa fayadamee osoo banachun danda'ame bayye nammati tola live event qabate,NEGATIVE,0.9796,General Feedback
268,I customer for commercial bank of Ethiopia I trade,NEGATIVE,0.9373,General Feedback
269,it's has an issue,POSITIVE,0.9217,General Feedback
270,good,POSITIVE,0.9998,General Feedback
271,nice,POSITIVE,0.9999,General Feedback
272,accessibility need to be taken seriously. There are people excluded because of inaccessible apps.,NEGATIVE,0.9504,General Feedback
273,"This application was not that great, and its performance has unfortunately declined further. For the past week, I have been unable to access my balance or transfer funds. This situation is causing considerable concern and inconvenience, as I cannot access my money in a timely manner. This has resulted in late payments and a loss of confidence and trust. Furthermore, I have not received a response to my message to the customer support team.",NEGATIVE,0.9998,Transaction Performance
274,🤙,NEGATIVE,0.6971,General Feedback
275,I can't download this app please assist how it can be downloaded,NEGATIVE,0.9936,General Feedback
276,"my favorite so far, but, how come we are not able to download the app and fix our problem ourselves? it is not fair to go to the bank and fix it for you? please think about it. Thank you",POSITIVE,0.8538,General Feedback
277,lulit tukka giro,POSITIVE,0.8195,General Feedback
278,Enough good even it hasn't transferring for other telebirr users,POSITIVE,0.9994,Transaction Performance
279,not good not bad.,POSITIVE,0.9956,General Feedback
280,easy fast helpful for our business,POSITIVE,0.9969,General Feedback
281,good,POSITIVE,0.9998,General Feedback
282,good,POSITIVE,0.9998,General Feedback
283,bad strresing,NEGATIVE,0.9998,General Feedback
284,cool,POSITIVE,0.9999,General Feedback
285,100%100 Fast and Amazing app !! 🏆🏆🏆🏆🏆🏆🏆🏆 💞🌷🇪🇹,POSITIVE,0.9997,General Feedback
286,Not that happy at this app,NEGATIVE,0.9998,General Feedback
287,Best,POSITIVE,0.9998,General Feedback
288,crush alot,NEGATIVE,0.9996,General Feedback
289,itii fayadamaa namaa fayadaa kuniin,NEGATIVE,0.9859,General Feedback
290,good app,POSITIVE,0.9998,General Feedback
291,good,POSITIVE,0.9998,General Feedback
292,Musxafaa,NEGATIVE,0.9952,General Feedback
293,good,POSITIVE,0.9998,General Feedback
294,well expriences,POSITIVE,0.905,General Feedback
295,good,POSITIVE,0.9998,General Feedback
296,great 👍,POSITIVE,0.9998,General Feedback
297,I had good time with CBE,POSITIVE,0.9998,General Feedback
298,crashes every time you need to update this app ASAP.. i will be changing bank if tjis continues,NEGATIVE,0.9993,App Stability & UI
299,Good,POSITIVE,0.9998,General Feedback
300,easy and fast,POSITIVE,0.9996,General Feedback
301,very nice,POSITIVE,0.9999,General Feedback
302,its good,POSITIVE,0.9998,General Feedback
303,this app is very good,POSITIVE,0.9999,General Feedback
304,በጣም ጥሩ ነው,NEGATIVE,0.8337,General Feedback
305,deduction but no transaction. not good,NEGATIVE,0.9997,General Feedback
306,Easy to use and reliable.,POSITIVE,0.9998,General Feedback
307,difficult to see our transactions after aweek,NEGATIVE,0.9996,General Feedback
308,👍👍,NEGATIVE,0.6971,General Feedback
309,nice,POSITIVE,0.9999,General Feedback
310,Good bank,POSITIVE,0.9998,General Feedback
311,swift,POSITIVE,0.9991,General Feedback
312,best,POSITIVE,0.9998,General Feedback
313,it is wel,POSITIVE,0.9836,General Feedback
314,nice,POSITIVE,0.9999,General Feedback
315,fully functional greate application it makes payment and transaction easier,POSITIVE,0.9979,Transaction Performance
316,it's best for everyone,POSITIVE,0.9998,General Feedback
317,good,POSITIVE,0.9998,General Feedback
318,good jobs,POSITIVE,0.9999,General Feedback
319,am happy using it.But why does it need continuous updates?,NEGATIVE,0.9802,Feature Requests
320,Good job,POSITIVE,0.9998,General Feedback
321,good,POSITIVE,0.9998,General Feedback
322,good,POSITIVE,0.9998,General Feedback
323,wow,POSITIVE,0.9996,General Feedback
324,good 👍,POSITIVE,0.9999,General Feedback
325,Thank you for your service.,POSITIVE,0.9998,General Feedback
326,nice,POSITIVE,0.9999,General Feedback
327,WOW!,POSITIVE,0.9996,General Feedback
328,i have more experience,POSITIVE,0.9621,General Feedback
329,good,POSITIVE,0.9998,General Feedback
330,i like this app,POSITIVE,0.9997,General Feedback
331,I love this app,POSITIVE,0.9999,General Feedback
332,it is not working,NEGATIVE,0.9998,General Feedback
333,the app freezes sometimes and crashing,NEGATIVE,0.9954,App Stability & UI
334,for active payment it's number one chose,POSITIVE,0.9914,Transaction Performance
335,"What a nasty Update is this !. May I say 'Events cast their shadow before happenings'. Trust, value, Bank's 'n' Customers' financial property, such like things, at risk once again(the State owned Bank experienced some months ago due to app development issues or some other unknown reasons. Unable to see my own current balance due to a hidden page being displayed, stacked transaction history since March 26th, among others. Is that a Banking app being developed by Professionals ?.",NEGATIVE,0.9995,Transaction Performance
336,Very good Service provider bank,POSITIVE,0.9998,General Feedback
337,nice app keep it up🤝🤝,POSITIVE,0.9997,General Feedback
338,very much for your information 👋,POSITIVE,0.9982,General Feedback
339,bad👎,NEGATIVE,0.6971,General Feedback
340,so nice to me,POSITIVE,0.9998,General Feedback
341,best,POSITIVE,0.9998,General Feedback
342,good update,POSITIVE,0.9998,Feature Requests
343,It's a good improvement. the app,POSITIVE,0.9998,General Feedback
344,good,POSITIVE,0.9998,General Feedback
345,Excellent,POSITIVE,0.9998,General Feedback
346,ok,POSITIVE,0.9998,General Feedback
347,best,POSITIVE,0.9998,General Feedback
348,"This app is very unreliable—slow, frequently crashes, and fails to sync properly. Transactions don’t reflect accurately; I transferred money that was deducted but never received, with no record in recent activity. It often stops working and takes too long to update. Reinstalling doesn’t help. You even have to visit a branch for it to start working, which is unacceptable today. The problem is even worse outside Ethiopia.",NEGATIVE,0.9997,Transaction Performance
349,not working,NEGATIVE,0.9998,General Feedback
350,it's fast and easy nice,POSITIVE,0.9999,General Feedback
351,Good,POSITIVE,0.9998,General Feedback
352,girms,POSITIVE,0.9924,General Feedback
353,"this platform is very useful for exchanging payment ,than *889#(it's slower ).🙏🙏",NEGATIVE,0.9963,Transaction Performance
354,best,POSITIVE,0.9998,General Feedback
355,Good app,POSITIVE,0.9998,General Feedback
356,very excellent application the number one bank of Ethiopia thanks,POSITIVE,0.9999,General Feedback
357,I can't use the app months ago. It stopped working with Mobile data and WiFi. I didn't know the cause. Why this app is not compatible with Android 8?,NEGATIVE,0.9996,General Feedback
358,not working,NEGATIVE,0.9998,General Feedback
359,"very nice app, but charge more.",POSITIVE,0.9977,General Feedback
360,Why mobile Banking is not functional?,NEGATIVE,0.9996,General Feedback
361,does this app support international transactions,POSITIVE,0.9887,General Feedback
362,i use CBE almost more than 5 years,NEGATIVE,0.9014,General Feedback
363,this app essential app on this time,POSITIVE,0.995,General Feedback
364,"After update not working at all, I live in abroad.",NEGATIVE,0.8973,Feature Requests
365,best app,POSITIVE,0.9997,General Feedback
366,nice,POSITIVE,0.9999,General Feedback
367,it is not well functional. It always sluggish and poor application. n Not interested because always straggling .,NEGATIVE,0.9998,General Feedback
368,best bank ever,POSITIVE,0.9998,General Feedback
369,Pleas allow self service on Mobile banking.,NEGATIVE,0.9784,General Feedback
370,saved transactions doesn't work properly it doesn't show transactions before a month only shows recent transactions even after I set filter date range,NEGATIVE,0.9967,General Feedback
371,good,POSITIVE,0.9998,General Feedback
372,easygoing & Convenient to use.,POSITIVE,0.9992,General Feedback
373,Thank you,POSITIVE,0.9998,General Feedback
374,good,POSITIVE,0.9998,General Feedback
375,nice,POSITIVE,0.9999,General Feedback
376,excellent,POSITIVE,0.9998,General Feedback
377,It charges high amount of service charge.,POSITIVE,0.9775,General Feedback
378,best,POSITIVE,0.9998,General Feedback
379,good,POSITIVE,0.9998,General Feedback
380,melkam new,NEGATIVE,0.9628,General Feedback
381,Very good service all times,POSITIVE,0.9999,General Feedback
382,ohh very useful and easy for use,POSITIVE,0.9979,General Feedback
383,wow,POSITIVE,0.9996,General Feedback
384,good application,POSITIVE,0.9999,General Feedback
385,good,POSITIVE,0.9998,General Feedback
386,its good,POSITIVE,0.9998,General Feedback
387,so nice,POSITIVE,0.9999,General Feedback
388,it nice and fast but usually it bad the connection by 4g network it still bad,NEGATIVE,0.9989,App Stability & UI
389,not work app,NEGATIVE,0.9997,General Feedback
390,nice App,POSITIVE,0.9998,General Feedback
391,CBE is my beast one for any transactions,POSITIVE,0.9963,General Feedback
392,very good,POSITIVE,0.9999,General Feedback
393,I Am Proud Of CBE Period!!!,POSITIVE,0.9998,General Feedback
394,digital banking,POSITIVE,0.9698,General Feedback
395,it is very good service you are giving,POSITIVE,0.9999,General Feedback
396,ps fast and easy,POSITIVE,0.9975,General Feedback
397,nice app for me,POSITIVE,0.9997,General Feedback
398,vibe,POSITIVE,0.9988,General Feedback
399,Tajajilli keessan dubati Hafadha አገልግሎታችሁን ዱባቲ ሀፋድህን አቆይ Your service will stay behind,POSITIVE,0.877,General Feedback
400,ገላግሌ ብየዋለው ጥድት ያለ አፕ,NEGATIVE,0.8832,General Feedback
